Gauge,Trace,Alarm Name,Type,Threshold
ACC - Rain -Waiatarua Rainfall,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73
ACC - Rain -Waiatarua Rainfall,Rainfall 7 days window sum,648825_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Waiatarua Rainfall,10mm Drought Alarm,648825_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Waiatarua Rainfall,Rainfall 30 min window sum,648825_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Waiatarua Rainfall,Rainfall 6 hr window sum,648825_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Waiatarua Rainfall,Rainfall 12 hr window sum,648825_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Waiatarua Rainfall,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Waiatarua Rainfall,Rainfall 24 hr window sum,648825_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Waiatarua Rainfall,Rainfall 60 min window sum,648825_threshold_alarm,Overflow/Max,25.0
ACC - Rain -Waiatarua Rainfall,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Waiatarua Rainfall,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Whenuapai @ Airbase,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73
ACC - Rain -Whenuapai @ Airbase,Rainfall 7 days window sum,647601_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Whenuapai @ Airbase,10mm Drought Alarm,647601_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Whenuapai @ Airbase,Rainfall 6 hr window sum,647601_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Whenuapai @ Airbase,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Whenuapai @ Airbase,Rainfall 24 hr window sum,647601_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Whenuapai @ Airbase,Rainfall 60 min window sum,647601_threshold_alarm,Overflow/Max,25.0
ACC - Rain -Whenuapai @ Airbase,Rainfall 30 min window sum,647601_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Whenuapai @ Airbase,Rainfall 12 hr window sum,647601_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Whenuapai @ Airbase,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Whenuapai @ Airbase,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Whau @ Mt Roskill Substn Rainfall,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.56
ACC - Rain -Whau @ Mt Roskill Substn Rainfall,10mm Drought Alarm,649713_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Whau @ Mt Roskill Substn Rainfall,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Whau @ Mt Roskill Substn Rainfall,Rainfall 7 days window sum,649713_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Whau @ Mt Roskill Substn Rainfall,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Whau @ Mt Roskill Substn Rainfall,Rainfall 60 min window sum,649713_threshold_alarm,Overflow/Max,25.0
ACC - Rain -Whau @ Mt Roskill Substn Rainfall,Rainfall 24 hr window sum,649713_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Whau @ Mt Roskill Substn Rainfall,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Whau @ Mt Roskill Substn Rainfall,Rainfall 12 hr window sum,649713_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Whau @ Mt Roskill Substn Rainfall,Rainfall 30 min window sum,649713_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Whau @ Mt Roskill Substn Rainfall,Rainfall 6 hr window sum,649713_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Whangamaire @ Culvert,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73
ACC - Rain -Whangamaire @ Culvert,10mm Drought Alarm,741813_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Whangamaire @ Culvert,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Whangamaire @ Culvert,Rainfall 7 days window sum,741813_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Whangamaire @ Culvert,Rainfall 24 hr window sum,741813_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Whangamaire @ Culvert,Rainfall 30 min window sum,741813_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Whangamaire @ Culvert,Rainfall 6 hr window sum,741813_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Whangamaire @ Culvert,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Whangamaire @ Culvert,Rainfall 60 min window sum,741813_threshold_alarm,Overflow/Max,25.0
ACC - Rain -Whangamaire @ Culvert,Rainfall 12 hr window sum,741813_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Whangamaire @ Culvert,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Waiuku Rain @ Waiuku-Otaua Rd,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73
ACC - Rain -Waiuku Rain @ Waiuku-Otaua Rd,10mm Drought Alarm,742739_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Waiuku Rain @ Waiuku-Otaua Rd,Rainfall 7 days window sum,742739_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Waiuku Rain @ Waiuku-Otaua Rd,Rainfall 60 min window sum,742739_threshold_alarm,Overflow/Max,25.0
ACC - Rain -Waiuku Rain @ Waiuku-Otaua Rd,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Waiuku Rain @ Waiuku-Otaua Rd,Rainfall 30 min window sum,742739_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Waiuku Rain @ Waiuku-Otaua Rd,Rainfall 6 hr window sum,742739_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Waiuku Rain @ Waiuku-Otaua Rd,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Waiuku Rain @ Waiuku-Otaua Rd,Rainfall 24 hr window sum,742739_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Waiuku Rain @ Waiuku-Otaua Rd,Rainfall 12 hr window sum,742739_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Waiuku Rain @ Waiuku-Otaua Rd,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Waitangi @ Diver Road,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73
ACC - Rain -Waitangi @ Diver Road,10mm Drought Alarm,742736_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Waitangi @ Diver Road,Rainfall 60 min window sum,742736_threshold_alarm_15mm,Overflow/Max,25.0
ACC - Rain -Waitangi @ Diver Road,Rainfall 7 days window sum,742736_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Waitangi @ Diver Road,Rainfall 24 hr window sum,742736_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Waitangi @ Diver Road,Rainfall 6 hr window sum,742736_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Waitangi @ Diver Road,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Waitangi @ Diver Road,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Waitangi @ Diver Road,Rainfall 12 hr window sum,742736_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Waitangi @ Diver Road,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Waitangi @ Diver Road,Rainfall 30 min window sum,742736_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Wairoa @ Hunua Nursery/Bowling Club,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73
ACC - Rain -Wairoa @ Hunua Nursery/Bowling Club,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Wairoa @ Hunua Nursery/Bowling Club,10mm Drought Alarm,750010_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Wairoa @ Hunua Nursery/Bowling Club,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Wairoa @ Hunua Nursery/Bowling Club,Rainfall 7 days window sum,750010_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Wairoa @ Hunua Nursery/Bowling Club,Rainfall 60 min window sum,750010_threshold_alarm_15mm,Overflow/Max,25.0
ACC - Rain -Wairoa @ Hunua Nursery/Bowling Club,Rainfall 24 hr window sum,750010_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Wairoa @ Hunua Nursery/Bowling Club,Rainfall 6 hr window sum,750010_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Wairoa @ Hunua Nursery/Bowling Club,Rainfall 12 hr window sum,750010_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Wairoa @ Hunua Nursery/Bowling Club,Rainfall 30 min window sum,750010_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Wairoa @ Hunua Nursery/Bowling Club,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Wairau at Testing Station  NSCC07,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73
ACC - Rain -Wairau at Testing Station  NSCC07,Rainfall 7 days window sum,647722_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Wairau at Testing Station  NSCC07,10mm Drought Alarm,647722_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Wairau at Testing Station  NSCC07,Rainfall 30 min window sum,647722_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Wairau at Testing Station  NSCC07,Rainfall 12 hr window sum,647722_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Wairau at Testing Station  NSCC07,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Wairau at Testing Station  NSCC07,Rainfall 6 hr window sum,647722_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Wairau at Testing Station  NSCC07,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Wairau at Testing Station  NSCC07,Rainfall 24 hr window sum,647722_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Wairau at Testing Station  NSCC07,Rainfall 60 min window sum,647722_threshold_alarm_15mm,Overflow/Max,25.0
ACC - Rain -Wairau at Testing Station  NSCC07,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Waihihi @ Waharau Regional Park,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73
ACC - Rain -Waihihi @ Waharau Regional Park,Rainfall 7 days window sum,750213_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Waihihi @ Waharau Regional Park,10mm Drought Alarm,750213_10mm Drought Alarm,Overflow/Max,0.0
ACC - Rain -Waihihi @ Waharau Regional Park,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Waihihi @ Waharau Regional Park,Rainfall 12 hr window sum,750213_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Waihihi @ Waharau Regional Park,Rainfall 24 hr window sum,750213_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Waihihi @ Waharau Regional Park,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Waihihi @ Waharau Regional Park,Rainfall 60 min window sum,750213_threshold_alarm_15mm,Overflow/Max,25.0
ACC - Rain -Waihihi @ Waharau Regional Park,Rainfall 30 min window sum,750213_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Waihihi @ Waharau Regional Park,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Waihihi @ Waharau Regional Park,Rainfall 6 hr window sum,750213_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Torbay @ Glamorgan Schl  NSCC04,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,10.73
ACC - Rain -Torbay @ Glamorgan Schl  NSCC04,Rainfall 7 days window sum,647739_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Torbay @ Glamorgan Schl  NSCC04,10mm Drought Alarm,647739_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Torbay @ Glamorgan Schl  NSCC04,Rainfall 60 min window sum,647739_threshold_alarm_15mm,Overflow/Max,25.0
ACC - Rain -Torbay @ Glamorgan Schl  NSCC04,Rainfall 12 hr window sum,647739_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Torbay @ Glamorgan Schl  NSCC04,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Torbay @ Glamorgan Schl  NSCC04,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Torbay @ Glamorgan Schl  NSCC04,Rainfall 24 hr window sum,647739_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Torbay @ Glamorgan Schl  NSCC04,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Torbay @ Glamorgan Schl  NSCC04,Rainfall 30 min window sum,647739_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Torbay @ Glamorgan Schl  NSCC04,Rainfall 6 hr window sum,647739_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Te Pai Park Henderson WCC,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73
ACC - Rain -Te Pai Park Henderson WCC,10mm Drought Alarm,648626_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Te Pai Park Henderson WCC,Rainfall 7 days window sum,648626_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Te Pai Park Henderson WCC,Rainfall 12 hr window sum,648626_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Te Pai Park Henderson WCC,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Te Pai Park Henderson WCC,Rainfall 20 hr window sum,Rainfall 20 hr window sum greater than 8mm,Overflow/Max,8.0
ACC - Rain -Te Pai Park Henderson WCC,Rainfall 6 hr window sum,648626_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Te Pai Park Henderson WCC,Rainfall 60 min window sum,648626_threshold_alarm_15mm,Overflow/Max,25.0
ACC - Rain -Te Pai Park Henderson WCC,Rainfall 24 hr window sum,648626_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Te Pai Park Henderson WCC,Rainfall 30 min window sum,648626_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Te Pai Park Henderson WCC,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Te Pai Park Henderson WCC,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Te Muri Rainfall,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73
ACC - Rain -Te Muri Rainfall,Rainfall 7 days window sum,645714_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Te Muri Rainfall,10mm Drought Alarm,645714_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Te Muri Rainfall,Rainfall 24 hr window sum,645714_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Te Muri Rainfall,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Te Muri Rainfall,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Te Muri Rainfall,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Te Muri Rainfall,Rainfall 12 hr window sum,645714_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Te Muri Rainfall,Rainfall 30 min window sum,645714_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Te Muri Rainfall,Rainfall 60 min window sum,645714_threshold_alarm_15mm,Overflow/Max,25.0
ACC - Rain -Te Muri Rainfall,Rainfall 6 hr window sum,645714_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Tamahunga @ Quintals Rd,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73
ACC - Rain -Tamahunga @ Quintals Rd,Rainfall 7 days window sum,643713_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Tamahunga @ Quintals Rd,10mm Drought Alarm,643713_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Tamahunga @ Quintals Rd,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Tamahunga @ Quintals Rd,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Tamahunga @ Quintals Rd,Rainfall 60 min window sum,643713_threshold_alarm_15mm,Overflow/Max,25.0
ACC - Rain -Tamahunga @ Quintals Rd,Rainfall 24 hr window sum,643713_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Tamahunga @ Quintals Rd,Rainfall 30 min window sum,643713_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Tamahunga @ Quintals Rd,Rainfall 6 hr window sum,643713_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Tamahunga @ Quintals Rd,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Tamahunga @ Quintals Rd,Rainfall 12 hr window sum,643713_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Swanson @ Waitakere Filter Station,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.56
ACC - Rain -Swanson @ Waitakere Filter Station,Rainfall 7 days window sum,648513_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Swanson @ Waitakere Filter Station,10mm Drought Alarm,648513_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Swanson @ Waitakere Filter Station,Rainfall 60 min window sum,648513_threshold_alarm_15mm,Overflow/Max,25.0
ACC - Rain -Swanson @ Waitakere Filter Station,Rainfall 12 hr window sum,648513_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Swanson @ Waitakere Filter Station,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Swanson @ Waitakere Filter Station,Rainfall 24 hr window sum,648513_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Swanson @ Waitakere Filter Station,Rainfall 6 hr window sum,648513_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Swanson @ Waitakere Filter Station,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Swanson @ Waitakere Filter Station,Rainfall 30 min window sum,648513_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Swanson @ Waitakere Filter Station,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Substation @ Lincoln Park Ave,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73
ACC - Rain -Substation @ Lincoln Park Ave,10mm Drought Alarm,648613_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Substation @ Lincoln Park Ave,Rainfall 7 days window sum,648613_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Substation @ Lincoln Park Ave,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Substation @ Lincoln Park Ave,Rainfall 6 hr window sum,648613_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Substation @ Lincoln Park Ave,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Substation @ Lincoln Park Ave,Rainfall 60 min window sum,648613_threshold_alarm_15mm,Overflow/Max,25.0
ACC - Rain -Substation @ Lincoln Park Ave,Rainfall 20 hr window sum,Rainfall 20 hr window sum greater than 8mm,Overflow/Max,8.0
ACC - Rain -Substation @ Lincoln Park Ave,Rainfall 12 hr window sum,648613_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Substation @ Lincoln Park Ave,Rainfall 30 min window sum,648613_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Substation @ Lincoln Park Ave,Rainfall 24 hr window sum,648613_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Substation @ Lincoln Park Ave,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -School @ Mairangi Bay  NSCC02,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.73
ACC - Rain -School @ Mairangi Bay  NSCC02,10mm Drought Alarm,647737_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -School @ Mairangi Bay  NSCC02,Rainfall 7 days window sum,647737_threshold_alarm,Overflow/Max,180.0
ACC - Rain -School @ Mairangi Bay  NSCC02,Rainfall 12 hr window sum,647737_threshold_alarm,Overflow/Max,70.0
ACC - Rain -School @ Mairangi Bay  NSCC02,Rainfall 30 min window sum,647737_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -School @ Mairangi Bay  NSCC02,Rainfall 6 hr window sum,647737_threshold_alarm,Overflow/Max,50.0
ACC - Rain -School @ Mairangi Bay  NSCC02,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -School @ Mairangi Bay  NSCC02,Rainfall 60 min window sum,647737_threshold_alarm,Overflow/Max,25.0
ACC - Rain -School @ Mairangi Bay  NSCC02,Rainfall 24 hr window sum,647737_threshold_alarm,Overflow/Max,100.0
ACC - Rain -School @ Mairangi Bay  NSCC02,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -School @ Mairangi Bay  NSCC02,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Reservoir Bush Road,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.56
ACC - Rain -Reservoir Bush Road,10mm Drought Alarm,649516_10mm Drought Alarm,Overflow/Max,0.99
ACC - Rain -Reservoir Bush Road,Rainfall 7 days window sum,649516_threshold_alarm,Overflow/Max,180.0
ACC - Rain -Reservoir Bush Road,Max TP108 ARI,ARI Max Threshold,Overflow/Max,5.0
ACC - Rain -Reservoir Bush Road,Rainfall 6 hr window sum,649516_threshold_alarm,Overflow/Max,50.0
ACC - Rain -Reservoir Bush Road,Rainfall 60 min window sum,649516_threshold_alarm_15mm,Overflow/Max,25.0
ACC - Rain -Reservoir Bush Road,Rainfall 30 second window sum,2.5 mm,Overflow/Max,2.49
ACC - Rain -Reservoir Bush Road,Rainfall 12 hr window sum,649516_threshold_alarm,Overflow/Max,70.0
ACC - Rain -Reservoir Bush Road,Rainfall 24 hr window sum,649516_threshold_alarm,Overflow/Max,100.0
ACC - Rain -Reservoir Bush Road,Rainfall 30 min window sum,649516_threshold_alarm_15mm,Overflow/Max,15.0
ACC - Rain -Reservoir Bush Road,Rainfall 60 min window sum - Mirror,1 hour Accumulated Threshold,Overflow/Max,15.0
ACC - Rain -Rangitopuni @ Walkers,Rainfall (primary),Data Recency (derived from telemeteredMaximumTime),Recency,9.56
