max_ari,pixels_total,pixels_exceeding,proportion_exceeding,catchment_id,catchment_name,peak_pixel_index,peak_timestamp,peak_duration,peak_depth_mm
0.33,39,0,0.0,3880813,HINGAIA_SOUTH,218402.0,2025-12-25 21:06:00+00:00,10m,0.67
0.33,96,0,0.0,3880800,PAHUREHURE_INLET,218402.0,2025-12-25 21:06:00+00:00,10m,0.67
0.3,128,0,0.0,3880788,OIRA_CREEK,220962.0,2025-12-25 21:10:00+00:00,10m,0.05
0.3,226,0,0.0,3880782,SLIPPERY_CREEK,218918.0,2025-12-25 21:21:00+00:00,10m,0.01
0.25,329,0,0.0,3880826,ALL_EASTERN_ISLAND_CATCHMENTS,182604.0,2025-12-25 02:30:00+00:00,10m,0.01
0.24,272,0,0.0,3880749,PAPAKURA_STREAM,215327.0,2025-12-25 09:31:00+00:00,10m,0.01
0.24,709,0,0.0,3880811,HUNUA_STREAM,227137.0,2025-12-25 05:38:00+00:00,10m,0.01
0.23,109,0,0.0,3880922,MAENEENE,120543.0,2025-12-25 11:18:00+00:00,10m,0.29
0.23,271,0,0.0,3880862,WAITEITEI,120543.0,2025-12-25 11:18:00+00:00,10m,0.29
0.23,543,0,0.0,3880919,MAKURAU,158936.0,2025-12-25 20:45:00+00:00,10m,0.01
0.22,97,0,0.0,3880879,TE_HANA,123103.0,2025-12-25 11:30:00+00:00,20m,0.28
0.22,72,0,0.0,3880773,WAIMAHIA_CREEK,214298.0,2025-12-25 09:23:00+00:00,10m,0.01
0.21,157,0,0.0,3880897,PORT_ALBERT,130262.0,2025-12-25 04:56:00+00:00,10m,0.05
0.21,101,0,0.0,3880850,WELLSFORD,130262.0,2025-12-25 04:56:00+00:00,10m,0.05
0.21,400,0,0.0,3880857,WAYBY,131288.0,2025-12-25 04:58:00+00:00,10m,0.02
0.21,149,0,0.0,3880852,WHANAKI,131798.0,2025-12-25 11:39:00+00:00,10m,0.02
0.2,78,0,0.0,3880952,WAIRAU_VALLEY,183559.0,2025-12-25 01:34:00+00:00,10m,0.01
0.2,179,0,0.0,3880802,OTARA_CREEK_FLAT_BUSH,209185.0,2025-12-25 20:29:00+00:00,10m,0.01
0.2,8,0,0.0,3880757,CASTOR_BAY,183048.0,2025-12-25 01:34:00+00:00,10m,0.01
0.2,124,0,0.0,3880914,OKAHUKURA,134348.0,2025-12-25 05:08:00+00:00,10m,0.09
0.2,183,0,0.0,3880904,ORUAWHARO,128715.0,2025-12-25 05:41:00+00:00,10m,0.01
0.2,9,0,0.0,3880965,MILFORD_BEACH,184585.0,2025-12-25 01:36:00+00:00,10m,0.01
0.2,144,0,0.0,3880866,"TOMARATA,WAITAPU_STREAM",121068.0,2025-12-25 11:10:00+00:00,10m,0.02
0.2,166,0,0.0,3880744,PUHINUI_CREEK,209185.0,2025-12-25 20:29:00+00:00,10m,0.01
0.19,155,0,0.0,3880798,PAKURANGA_CREEK,202524.0,2025-12-25 05:20:00+00:00,10m,0.01
0.19,43,0,0.0,3880937,CHRISTIAN_BAY,141066.0,2025-12-25 11:23:00+00:00,10m,0.03
0.19,31,0,0.0,3880942,BADDLEYS_BEACH,138500.0,2025-12-25 11:17:00+00:00,10m,0.04
0.19,268,0,0.0,3880917,MATAKANA_RIVER,138500.0,2025-12-25 11:17:00+00:00,10m,0.04
0.19,59,0,0.0,3880799,PAKURANGA-TAMAKI_RIVER,201498.0,2025-12-25 05:17:00+00:00,10m,0.01
0.19,29,0,0.0,3880820,CHURCH,186669.0,2025-12-25 04:43:00+00:00,10m,0.01
0.19,20,0,0.0,3880939,CAMPBELLS_BEACH,139527.0,2025-12-25 11:19:00+00:00,10m,0.02
0.19,8,0,0.0,3880940,BUCKLETONS_BAY,141573.0,2025-12-25 12:14:00+00:00,30m,0.04
0.18,72,0,0.0,3880745,TAMAKI_NORTH,199958.0,2025-12-25 05:14:00+00:00,10m,0.01
0.18,48,0,0.0,3880899,POINT_WELLS,137990.0,2025-12-25 11:08:00+00:00,10m,0.08
0.18,23,0,0.0,3880908,OMAHA_WEST,138503.0,2025-12-25 13:04:00+00:00,10m,0.02
0.18,123,0,0.0,3880926,KAWAU_ISLAND,143642.0,2025-12-25 11:08:00+00:00,10m,0.06
0.18,59,0,0.0,3880865,WAIKAURI_BAY,139543.0,2025-12-25 11:34:00+00:00,10m,0.17
0.18,23,0,0.0,3880909,OMAHA_SOUTH,137997.0,2025-12-25 11:29:00+00:00,10m,0.1
0.18,50,0,0.0,3880886,SNELLS_BEACH-ALGIES_BAY,142083.0,2025-12-25 12:31:00+00:00,10m,0.06
0.18,29,0,0.0,3880828,MT_WELLINGTON_SOUTH,200471.0,2025-12-25 05:15:00+00:00,10m,0.01
0.18,146,0,0.0,3880846,WHANGATEAU,134402.0,2025-12-25 11:19:00+00:00,10m,0.07
0.17,68,0,0.0,3880827,ELLERSLIE,196372.0,2025-12-25 05:48:00+00:00,10m,0.01
0.17,52,0,0.0,3880847,COCKLE_BAY,195872.0,2025-12-25 22:23:00+00:00,10m,0.01
0.17,70,0,0.0,3880869,HOBSON_BAY,196372.0,2025-12-25 05:48:00+00:00,10m,0.01
0.17,119,0,0.0,3880921,MAHURANGI_EAST,142592.0,2025-12-25 11:42:00+00:00,10m,0.05
0.17,8,0,0.0,3880918,MARTINS_BAY,147208.0,2025-12-25 12:32:00+00:00,10m,0.02
0.17,31,0,0.0,3880849,WELLSFORD_SOUTH,130786.0,2025-12-25 11:38:00+00:00,10m,0.01
0.17,281,0,0.0,3880895,PUHOI,156905.0,2025-12-25 05:09:00+00:00,10m,0.02
0.17,50,0,0.0,3880890,SHARPS_ROAD,142591.0,2025-12-25 11:42:00+00:00,10m,0.06
0.16,57,0,0.0,3880848,CLARKS_BEACH,221958.0,2025-12-25 05:08:00+00:00,10m,0.01
0.16,95,0,0.0,3880786,ONE_TREE_HILL,198931.0,2025-12-25 05:12:00+00:00,10m,0.01
0.16,161,0,0.0,3880796,KARAKA_CREEK,221959.0,2025-12-25 05:08:00+00:00,10m,0.01
0.16,226,0,0.0,3880851,WHANGARIPO,127209.0,2025-12-25 11:36:00+00:00,10m,0.1
0.16,192,0,0.0,3880860,WAIWERA_RIVER,157420.0,2025-12-25 05:09:00+00:00,10m,0.02
0.16,185,0,0.0,3880920,MAHURANGI_WEST,146173.0,2025-12-25 11:57:00+00:00,10m,0.03
0.16,391,0,0.0,3880880,TE_ARAI,120560.0,2025-12-25 11:44:00+00:00,10m,0.08
0.16,14,0,0.0,3880910,OMAHA_EAST,135435.0,2025-12-25 11:23:00+00:00,10m,0.04
0.15,11,0,0.0,3880881,TI_POINT,133390.0,2025-12-25 11:26:00+00:00,10m,0.16
0.15,350,0,0.0,3880863,WAIONUI,145063.0,2025-12-25 07:27:00+00:00,10m,0.01
0.15,33,0,0.0,3880916,MATHESON_BAY,132878.0,2025-12-25 11:23:00+00:00,10m,0.12
0.15,191,0,0.0,3880859,WAIWHIU_STREAM,129255.0,2025-12-25 11:44:00+00:00,10m,0.06
0.15,829,0,0.0,3880854,WEST_COAST,145063.0,2025-12-25 07:27:00+00:00,10m,0.01
0.15,297,0,0.0,3880858,WARKWORTH,142071.0,2025-12-25 11:50:00+00:00,10m,0.03
0.14,9,0,0.0,3880933,JAMIESON_BAY,152831.0,2025-12-25 12:06:00+00:00,10m,0.02
0.14,43,0,0.0,3880878,TE_MURI,155393.0,2025-12-25 12:09:00+00:00,10m,0.01
0.14,159,0,0.0,3880874,GUMSTOVE,135359.0,2025-12-25 04:54:00+00:00,10m,0.01
0.13,80,0,0.0,3880943,AWAROA,171213.0,2025-12-25 07:05:00+00:00,10m,0.02
0.13,403,0,0.0,3880929,KAIPARA_WEST,170186.0,2025-12-25 07:03:00+00:00,10m,0.02
0.13,370,0,0.0,3880853,WEST_KAIPARA_HARBOUR,168647.0,2025-12-25 07:00:00+00:00,10m,0.01
0.13,44,0,0.0,3880924,LEIGH,130318.0,2025-12-25 11:24:00+00:00,10m,0.01
0.12,172,0,0.0,3880902,PAKARI,129800.0,2025-12-25 11:08:00+00:00,10m,0.02
0.12,245,0,0.0,3880935,DAIRY_FLAT,169707.0,2025-12-25 04:45:00+00:00,10m,0.01
0.12,545,0,0.0,3880927,KAUKAPAKAPA,169707.0,2025-12-25 04:45:00+00:00,10m,0.01
0.12,178,0,0.0,3880864,WAIKIRI,130737.0,2025-12-25 05:01:00+00:00,10m,0.01
0.12,620,0,0.0,3880923,LOWER_HOTEO,141550.0,2025-12-25 11:43:00+00:00,10m,0.04
0.0,18,0,0.0,3880781,SURFDALE,,,,
0.0,96,0,0.0,3880778,TE_HIHI_CREEK,,,,
0.0,52,0,0.0,3880776,WWTP,,,,
0.0,156,0,0.0,3880777,TURANGA_CREEK,,,,
0.0,14,0,0.0,3880775,WAIHEKE,,,,
0.0,94,0,0.0,3880774,WAIKOPUA_CREEK,,,,
0.0,73,0,0.0,3880768,WAIUKU_TOWN-AWAROA_RIVER,,,,
0.0,213,0,0.0,3880780,TAIHIKI_RIVER,,,,
0.0,220,0,0.0,3880779,TAITAIA_STREAM,,,,
0.0,63,0,0.0,3880748,PAPATOETOE-TAMAKI_RIVER,,,,
0.0,34,0,0.0,3880750,HILLCREST,,,,
0.0,24,0,0.0,3880764,ALBANY_WEST,,,,
0.0,25,0,0.0,3880756,DEEP_CREEK,,,,
0.0,15,0,0.0,3880758,CASSINO,,,,
0.0,246,0,0.0,3880766,WHANGAMAIRE_STREAM,,,,
0.0,273,0,0.0,3880765,WHANGAPOURI_CREEK,,,,
0.0,135,0,0.0,3880747,POURAUREROA_STREAM,,,,
0.0,9,0,0.0,3880751,HAURAKI,,,,
0.0,22,0,0.0,3880754,DUCK_CREEK_1,,,,
0.0,16,0,0.0,3880755,DEVONPORT,,,,
0.0,30,0,0.0,3880753,ESKDALE,,,,
0.0,22,0,0.0,3880752,GREENHITHE,,,,
0.0,17,0,0.0,3880759,CAMPBELLS_BAY,,,,
0.0,18,0,0.0,3880760,BELMONT,,,,
0.0,9,0,0.0,3880761,BAYVIEW,,,,
0.0,25,0,0.0,3880762,AWARUKU,,,,
0.0,54,0,0.0,3880763,ATTWOOD,,,,
0.0,13,0,0.0,3880746,PT_CHEVALIER,,,,
0.0,140,0,0.0,3880742,PUKEKOHE-TUTAENUI_STREAM,,,,
0.0,110,0,0.0,3880743,PUKAKI_WAOKAURI,,,,
0.0,156,0,0.0,3880845,ORATIA,,,,
0.0,6,0,0.0,3880844,HERALD_ISLAND,,,,
0.0,335,0,0.0,3880843,HUIA,,,,
0.0,44,0,0.0,3880842,LINCOLN,,,,
0.0,55,0,0.0,3880840,MASSEY,,,,
0.0,139,0,0.0,3880841,OPANUKU,,,,
0.0,127,0,0.0,3880839,SWANSON,,,,
0.0,80,0,0.0,3880838,REDHILLS,,,,
0.0,313,0,0.0,3880834,WAITAKERE,,,,
0.0,63,0,0.0,3880837,HENDERSON,,,,
0.0,57,0,0.0,3880836,TE_ATATU_SOUTH,,,,
0.0,82,0,0.0,3880835,TITIRANGI_LAINGHOLM,,,,
0.0,43,0,0.0,3880832,WEST_HARBOUR,,,,
0.0,399,0,0.0,3880833,PIHA-KAREKARE,,,,
0.0,102,0,0.0,3880831,WHENUAPAI,,,,
0.0,33,0,0.0,3880830,WATER_VIEW,,,,
0.0,38,0,0.0,3880816,GREY_LYNN,,,,
0.0,553,0,0.0,3880829,GREAT_BARRIER_ISLAND,,,,
0.0,434,0,0.0,3880824,AWHITU-MANUKAU_HARBOUR,,,,
0.0,132,0,0.0,3880825,WHAU,,,,
0.0,343,0,0.0,3880823,AWHITU-TASMAN_SEA,,,,
0.0,86,0,0.0,3880819,ELLETTS_BEACH,,,,
0.0,13,0,0.0,3880821,BLACKPOOL,,,,
0.0,153,0,0.0,3880822,BEACHLANDS_MARAETAI,,,,
0.0,6,0,0.0,3880815,HEKERUA,,,,
0.0,33,0,0.0,3880817,GLENDOWIE,,,,
0.0,7,0,0.0,3880818,ENCLOSURE,,,,
0.0,19,0,0.0,3880808,ONEROA,,,,
0.0,51,0,0.0,3880810,IHUMATAO,,,,
0.0,61,0,0.0,3880809,ONEHUNGA,,,,
0.0,275,0,0.0,3880812,HINGAIA_STREAM,,,,
0.0,36,0,0.0,3880814,HILLSBOROUGH,,,,
0.0,42,0,0.0,3880783,RANGIHOUA,,,,
0.0,18,0,0.0,3880784,PUTIKI,,,,
0.0,15,0,0.0,3880787,OMIHA,,,,
0.0,13,0,0.0,3880785,PUTAKI,,,,
0.0,211,0,0.0,3880789,NGAKOROA_STREAM,,,,
0.0,28,0,0.0,3880807,ONETANGI,,,,
0.0,455,0,0.0,3880805,ORERE_STREAM,,,,
0.0,10,0,0.0,3880806,ORAPIU,,,,
0.0,17,0,0.0,3880801,OWHANAKE,,,,
0.0,24,0,0.0,3880803,OTAHUHU_EAST,,,,
0.0,21,0,0.0,3880804,OSTEND,,,,
0.0,200,0,0.0,3880792,MAUKU_STREAM,,,,
0.0,105,0,0.0,3880794,MANGERE_INLET,,,,
0.0,17,0,0.0,3880793,MATIATIA,,,,
0.0,60,0,0.0,3880795,MANGEMANGEROA_CREEK,,,,
0.0,9,0,0.0,3880797,PALM_BEACH,,,,
0.0,42,0,0.0,3880790,MOTIONS,,,,
0.0,91,0,0.0,3880791,MEOLA,,,,
0.0,80,0,0.0,3880769,WAIUKU_TOWN,,,,
0.0,80,0,0.0,3880767,OAKLEY,,,,
0.0,343,0,0.0,3880770,WAIUKU_RIVER,,,,
0.0,172,0,0.0,3880771,WAITANGI_STREAM,,,,
0.0,460,0,0.0,3880772,WAIROA_RIVER,,,,
0.0,10,0,0.0,3880876,ROTHESAY_BAY,,,,
0.0,46,0,0.0,3880867,AIRPORT,,,,
0.0,24,0,0.0,3880856,WEITI_RIVER_NORTH,,,,
0.0,14,0,0.0,3880875,DUCK_CREEK_2,,,,
0.0,9,0,0.0,3880873,HITAPA_BAY,,,,
0.0,15,0,0.0,3880877,LITTLE_SHOAL_BAY,,,,
0.0,53,0,0.0,3880872,CBD,,,,
0.0,16,0,0.0,3880868,ANZAC,,,,
0.0,55,0,0.0,3880870,EPSOM_NEWMARKET,,,,
0.0,151,0,0.0,3880907,OMAUMAU,,,,
0.0,10,0,0.0,3880903,OTANERUA,,,,
0.0,115,0,0.0,3880905,OREWA_RIVER_WEST,,,,
0.0,23,0,0.0,3880906,OREWA_RIVER_EAST,,,,
0.0,93,0,0.0,3880898,POROURE,,,,
0.0,19,0,0.0,3880896,PUAWAI,,,,
0.0,66,0,0.0,3880900,PINE_VALLEY,,,,
0.0,24,0,0.0,3880901,PAREMOREMO_2,,,,
0.0,32,0,0.0,3880885,STANMORE_BAY,,,,
0.0,38,0,0.0,3880887,SILVERDALE_WADE,,,,
0.0,40,0,0.0,3880888,SILVERDALE_SOUTH,,,,
0.0,31,0,0.0,3880889,SILVERDALE_NORTH,,,,
0.0,31,0,0.0,3880891,SHAKESPEAR,,,,
0.0,76,0,0.0,3880892,RIVERHEAD,,,,
0.0,19,0,0.0,3880893,RED_BEACH,,,,
0.0,158,0,0.0,3880894,RANGITOPUNI,,,,
0.0,101,0,0.0,3880883,TAUHOA,,,,
0.0,13,0,0.0,3880884,STILLWATER,,,,
0.0,192,0,0.0,3880882,TAUPAKI,,,,
0.0,41,0,0.0,3880871,EASTERN_BAYS,,,,
0.0,10,0,0.0,3880861,WAIWERA,,,,
0.0,32,0,0.0,3880855,WEITI_SOUTH,,,,
0.0,177,0,0.0,3880913,OKIRITOTO,,,,
0.0,196,0,0.0,3880925,KUMEU_HUAPAI,,,,
0.0,40,0,0.0,3880934,HOBBS_BAY,,,,
0.0,126,0,0.0,3880932,KAIPARA_FLATS,,,,
0.0,35,0,0.0,3880931,HATFIELDS,,,,
0.0,30,0,0.0,3880930,HELENSVILLE,,,,
0.0,40,0,0.0,3880928,KAREPIRO,,,,
0.0,23,0,0.0,3880912,OKOROMAI_BAY,,,,
0.0,102,0,0.0,3880911,OKURA_NORTH,,,,
0.0,26,0,0.0,3880915,NUKUMEA,,,,
0.0,39,0,0.0,3880941,BIG&LITTLE_MANLY,,,,
0.0,473,0,0.0,3880938,CENTRAL_KAIPARA,,,,
0.0,58,0,0.0,3880936,COATESVILLE,,,,
0.0,383,0,0.0,3880945,ARAPARERA,,,,
0.0,11,0,0.0,3880947,TRAMWAY,,,,
0.0,21,0,0.0,3880948,WAYSIDE,,,,
0.0,13,0,0.0,3880949,WATERVIEW,,,,
0.0,13,0,0.0,3880944,ARKLES_BAY,,,,
0.0,28,0,0.0,3880950,WAIURUTOA,,,,
0.0,13,0,0.0,3880951,WAIROA,,,,
0.0,22,0,0.0,3880953,TAKAPUNA_BEACH,,,,
0.0,16,0,0.0,3880954,TAIORAHI,,,,
0.0,28,0,0.0,3880955,TAIAOTEA,,,,
0.0,10,0,0.0,3880956,SHOAL_BAY,,,,
0.0,17,0,0.0,3880957,RANGATIRA,,,,
0.0,14,0,0.0,3880946,UPPER_HARBOUR,,,,
0.0,53,0,0.0,3880958,PAREMOREMO_1,,,,
0.0,75,0,0.0,3880959,OTEHA_VALLEY,,,,
0.0,13,0,0.0,3880961,ONEPOTO,,,,
0.0,16,0,0.0,3880960,ORWELL,,,,
0.0,37,0,0.0,3880962,OKURA,,,,
0.0,9,0,0.0,3880963,NORTHBORO,,,,
0.0,9,0,0.0,3880964,NARROW_NECK,,,,
0.0,16,0,0.0,3880966,MAIRANGI_BAY,,,,
0.0,39,0,0.0,3880967,LUCAS_CREEK,,,,
0.0,33,0,0.0,3880968,LONG_BAY,,,,
0.0,17,0,0.0,3880969,LIGNITE,,,,
0.0,15,0,0.0,3880970,LAKE_PUPUKE,,,,
0.0,21,0,0.0,3880971,KYLE,,,,
0.0,19,0,0.0,3880972,KAURI_POINT,,,,
0.0,19,0,0.0,3880973,KAIPATIKI,,,,
0.0,19,0,0.0,3880974,KAHIKA,,,,
